> 9788	NAZCA-ANTARCTIC
-109.0576	-34.117
-102.7721	-34.9036
-102.6814	-35.5862
-102.592	-35.8278
-100.6449	-36.0646
-98.4131	-36.192
-97.4011	-36.2913
-97.4165	-36.8692
-95.6888	-36.9645
-94.1265	-37.0014
-94.0957	-37.7141
-93.9995	-38.4802
-93.0722	-38.4289
-93.026	-38.9695
-91.66	-38.8677
-91.5446	-39.8347
-91.4753	-40.73
-91.3945	-41.1022
-90.0862	-41.0558
-90.0516	-41.4348
-89.9965	-41.3204
> 9921	NAZCA-ANTARCTIC
-89.9965	-41.3204
-89.8562	-41.3004
-89.7527	-41.2866
-89.5925	-41.2877
-89.4753	-41.2759
-89.3719	-41.2656
-89.2755	-41.2569
-89.2181	-41.2527
-89.163	-41.2484
-89.158	-41.309
-89.147	-41.4006
-88.9107	-41.384
-88.7641	-41.3848
-88.5691	-41.3709
-88.2958	-41.3446
-88.1304	-41.3284
-88.0271	-41.3198
-87.9352	-41.3093
-87.8663	-41.3036
-87.8158	-41.301
-87.7815	-41.2999
-87.7784	-41.3483
-87.7687	-41.4071
-87.763	-41.4451
-87.7514	-41.5176
-87.5352	-41.4869
-87.3883	-41.4757
-87.2412	-41.4558
-87.0554	-41.4469
-86.8069	-41.4064
-86.6527	-41.3815
-86.4507	-41.366
-86.2598	-41.3365
-86.1036	-41.3219
-85.9682	-41.3139
-85.8236	-41.3008
-85.7456	-41.2953
-85.6926	-41.2875
-85.7074	-41.3201
-85.6968	-41.3479
-85.6772	-41.3827
-85.6529	-41.4107
-85.64	-41.4385
-85.6268	-41.456
-85.6091	-41.4787
-85.5873	-41.5135
-85.4532	-41.4728
-85.2875	-41.4446
-85.0792	-41.4465
-84.9753	-41.4207
-84.8474	-41.4298
-84.7742	-41.4345
-84.717	-41.4355
-84.6804	-41.4361
-84.6578	-41.5965
-84.5775	-41.5928
-84.4993	-41.5804
-84.4259	-41.5765
-84.375	-41.5601
-84.3335	-41.5505
-84.3038	-41.551
-84.2553	-41.6876
-84.0508	-41.6671
-83.9842	-41.6614
-83.9708	-41.6719
-83.963	-41.7149
-83.9551	-41.8333
-83.9475	-41.8831
-83.9352	-41.9312
-83.927	-41.9604
-83.8603	-41.9513
-83.7916	-41.9525
-83.7389	-41.9517
-83.7144	-41.9726
-83.7017	-42.007
-83.6776	-42.0433
-83.6488	-42.0745
-83.6358	-42.0986
-83.6373	-42.148
-83.6364	-42.1923
-83.631	-42.24
-83.6316	-42.2587
-83.6373	-42.2978
-83.6147	-42.3814
-83.6026	-42.4325
-83.5971	-42.4784
-83.5894	-42.5243
-83.5745	-42.5618
-83.5529	-42.6028
-83.5357	-42.6386
-83.5115	-42.6711
-83.4783	-42.7088
-83.4539	-42.7345
-83.4414	-42.7736
-83.445	-42.8157
-83.4375	-42.8714
-83.4434	-42.9134
-83.44	-42.9505
-83.4361	-42.9741
-83.4324	-42.9994
-83.3126	-42.9762
-83.2393	-42.9757
-83.1589	-42.9686
-83.09	-42.9631
-83.0052	-42.9595
-82.9342	-42.959
-82.8588	-42.9636
-82.8083	-42.9628
-82.7669	-42.9567
-82.7279	-42.954
-82.706	-42.9846
-82.6801	-43.0355
-82.6609	-43.0812
-82.6417	-43.1268
-82.6314	-43.1639
-82.6172	-43.2227
-82.6136	-43.2546
-82.6079	-43.2915
-82.611	-43.3149
-82.6073	-43.345
-82.6077	-43.3567
-82.6152	-43.3783
-82.6112	-43.3967
-82.6185	-43.41
-82.6107	-43.4535
-82.5979	-43.4837
-82.583	-43.5173
-82.5583	-43.5361
-82.5407	-43.5563
-82.5276	-43.5765
-82.5105	-43.6151
-82.5003	-43.6569
-82.4904	-43.7052
-82.4935	-43.7301
-82.4943	-43.7566
-82.4936	-43.8081
-82.4808	-43.8381
-82.4633	-43.8616
-82.4452	-43.8685
-82.4136	-43.884
-82.3736	-43.9227
-82.3515	-43.9479
-82.3389	-43.9845
-82.3059	-44.0264
-82.2963	-44.086
-82.2879	-44.1076
-82.2775	-44.1424
-82.261	-44.2003
-82.2423	-44.2599
-82.2369	-44.3061
-82.2293	-44.3555
-82.2257	-44.3851
-82.2093	-44.4445
-82.1991	-44.4856
-82.1822	-44.5285
-82.1693	-44.5549
